Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cameroon,CMR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,695972746.4,831603336.6,1003768441,1079259872,1166400369,1292745663,1486513657,2008417675,2613917648,2630646414,2715907549,4233901742,5241546270,5432190835,7463737001,7816057329,7393805581,7638116405,8089885563,9640222452,11129967593,12471323168,12236024205,11128471585,10766279332,11145408454,11429298547,10647415620,10126671131,9346042044,9390074493,9528712191,9775079727,9488575659,9412195256,9565010209,11408286815,14182253432,16267496034,17778893722,18975315887,21420579841,23373557298,24114013137,25458631434,26537713464,28630182577,30762514688,31121770921,
"Congo, Rep.",COG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,158326821.2,161150656.9,176083143.2,192891328.4,207878337.1,226840198.4,256651203.4,277636545.3,288176923.5,317339780.1,379962629.7,491411980.2,631360611.3,770488106.7,762703507.6,733541235.4,822173401.2,1056930934,1471072609,1994651424,2305277018,2093825206,2123882361,2036069433,2067620280,2285500046,2076243238,2164497351,2184433376,2336440013,2642413875,2041445386,1789420328,1175141324,1301256536,1690781316,1705750317,1496547022,1766723650,2027233732,2225187610,2363432939,2689115178,3449714789,4416133683,5241184796,7177055317,7806219630,9071294889,9315549895,10773535064,11527753410,12255610235,11723287040,
Colombia,COL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,4796520585,4997724028,5564005237,5778461152,6074082995,5939879695,6209737299,6590076049,7067865830,7787094948,8830332823,10561094418,12830415844,14244035881,15346010569,17370777828,21866900237,27827722059,33718652321,37045091133,37267769097,36675603326,37505663100,36331002858,37573384908,38987681145,41568692427,40955099534,41685437782,41546297924,45482843494,50283650481,64103903011,80154437291,94041933857,1.00253E+11,98354053121,90799993718,93539833747,94087781008,97016080357,98469985363,1.10143E+11,1.26537E+11,1.50477E+11,1.80459E+11,2.09434E+11,2.31042E+11,2.54321E+11,2.8699E+11,3.35022E+11,3.67559E+11,3.80864E+11,3.44093E+11,
Comoros,COM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,126216500.9,114595961.4,110894727.6,112711170.2,131212466.4,169633406.7,214759864.9,216758617.8,234124622.8,234604020.4,280845642.2,284221366.6,234544999.2,234464568,222636768.3,231771224.1,218896870.5,216724584.3,229232083.6,225321010.1,224226283.4,265603797.7,327555343.2,386070788.1,411646021.5,433066150.3,476985492.5,517898080.3,532349036.6,550975284.8,565557800,595295648.3,605445680.7,,
Cabo Verde,CPV,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,148707783.5,140218604.8,137316134.2,140582014.7,161763166.6,207625521.8,272453274,296816566.2,303441526.2,314415036.8,371459881.6,435906136.1,490005741.7,542989128.6,532058333.6,547448465.3,547204824.8,576475742.8,601942765.3,586845302.9,576410757.2,683635767.6,868858237.7,1001825604,1078061577,1338202130,1587097765,1693361155,1672997263,1750808035,1738557486,1789642652,1771908475,1711683122,
Costa Rica,CRI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,514437724.5,521310750.8,529982841.2,590994152.6,647058497.5,690457649.6,770758952.4,848070821,958391568.5,1076558523,1230661130,1511753728,1801369305,2030441337,2246123788,2748396822,3346298618,4049768049,4648950192,3485257976,2563615855,2645527224,3410398128,4272654997,5087375556,5945524849,6448559824,6685859558,7188643216,7394846582,8416110304,9216284329,10327509350,11296272409,11768698829,12486377408,13124085842,13352946415,14556598863,15514035298,16142199314,17316558342,19141094765,20761528019,22894065154,24624146610,27787366592,28264987416,32261790276,36725167672,42523647912,46372038234,48140346538,49078288318,
Caribbean small states,CSS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,3048485976,3233052826,3514172792,3759832168,4540732252,5097031284,6068293007,7739438711,8348295584,9152621906,10196286509,11098455473,12265967934,14074168857,15320998458,14642153664,14391126979,14422355134,14301954977,14944981097,16271300946,16841209690,17251541006,17297024359,17574020737,18052145620,18604200228,20165971398,22165897187,22935006446,24451711037,26971123652,29530670470,30585823693,32300458274,35562138817,39864456734,43808592484,48983428235,53740339091,59519188576,57559389959,57794217914,57022361850,60805198036,65142344028,66642193209,66803015442,
Cuba,CUB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,7654613558,9546591332,11569961879,14193195508,14800868298,15455678244,17363293595,19512179212,21119503006,24056038983,23252510398,21755920012,23126381386,23321073471,24322203648,25567709427,28873675434,28868148228,28121282754,24972034765,22815768053,20229921254,23243844311,27761361254,29620673426,27490033535,24684509723,26571214525,29129157677,30765295516,31589922673,34760877313,39239988296,44604040877,50981438806,56233414131,61343259464,61970812662,63019433555,66619800123,,,,,
Curacao,CUW,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
